Symbol ,Company,Last,Change,%_Change,Volume,$_Traded
NIO,NIO Inc. ADR,53.46,+4.21,+8.55%,191.23M,10.11B
GE,General Electric Co.,10.12,+0.36,+3.64%,74.12M,743.31M
XPEV,XPeng Inc. ADR,63.57,+9.68,+17.96%,67.49M,4.33B
RIG,Transocean Ltd.,1.75,+0.37,+26.45%,59.54M,101.65M
PLTR,Palantir Technologies Inc.,20.15,+2.00,+11.03%,55.84M,1.11B
M,Macy's Inc.,10.44,+1.39,+15.30%,55.23M,572.61M
F,Ford Motor Co.,8.89,+0.15,+1.69%,43.27M,379.43M
CCL,Carnival Corp.,18.27,+0.90,+5.15%,32.31M,580.16M
SPY,SPDR S&P 500 ETF Trust,356.75,+1.42,+0.40%,31.39M,11.11B
VALE,Vale S.A. ADR,13.03,+0.34,+2.72%,31.27M,402.72M
XLF,Financial Select Sector SPDR ETF,27.63,+0.45,+1.65%,30.29M,832.57M
PFE,Pfizer Inc.,36.31,-0.39,-1.06%,28.98M,1.04B
SNAP,Snap Inc.,46.41,+2.12,+4.79%,27.33M,1.26B
ITUB,Itau Unibanco Holding S/A ADR,5.34,+0.05,+0.95%,28.04M,143.51M
OXY,Occidental Petroleum Corp.,15.29,+1.80,+13.31%,27.35M,412.00M
BAC,Bank of America Corp.,27.37,+0.55,+2.07%,27.35M,734.30M
UVXY,ProShares Ultra VIX Short-Term Futures ETF,12.14,-0.37,-2.96%,25.48M,304.67M
MRO,Marathon Oil Corp.,5.98,+0.38,+6.70%,25.06M,148.37M
GOLD,Barrick Gold Corp.,23.29,-1.00,-4.10%,23.81M,548.77M
SLV,iShares Silver Trust,21.92,-0.57,-2.53%,23.43M,510.72M
WFC,Wells Fargo & Co.,26.25,+0.77,+3.02%,23.00M,597.42M
NOK,Nokia Corp. ADR,3.98,+0.02,+0.63%,23.05M,89.73M
XLE,Energy Select Sector SPDR ETF,37.56,+1.75,+4.89%,22.16M,819.23M
AMC,AMC Entertainment Holdings Inc. Cl A,3.68,+0.33,+9.70%,21.76M,78.58M
JMIA,Jumia Technologies AG ADR,30.56,+5.82,+23.52%,21.33M,642.15M
